Experiment,Best Value,Best Accuracy,Best F1,Best AUC
Optimizer,adamw,1.0,1.0,1.0
Learning Rate,0.01,1.0,1.0,1.0
Batch Size,8,1.0,1.0,1.0
Dropout Rate,0.0,1.0,1.0,1.0
Activation Function,relu,1.0,1.0,1.0
LR Scheduler,cosine,1.0,1.0,1.0
Weight Decay (λ),0.0,1.0,1.0,1.0
