delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.9379848124846187,0.6945304437564499,8017,1.9541156198626676e-06
0.0,1,0.9322041780040065,0.6924664602683178,8017,1.9541156198626676e-06
0.0,2,0.9345739570668167,0.6924664602683178,8017,1.9541156198626676e-06
0.0,3,0.9353254627224803,0.6924664602683178,8017,1.9541156198626676e-06
0.0,4,0.9317702215844126,0.6924664602683178,8017,1.9541156198626676e-06
0.0,5,0.9338178264922771,0.6924664602683178,8017,1.9541156198626676e-06
0.0,6,0.9342797268696089,0.6934984520123839,8017,1.9541156198626676e-06
0.0,7,0.9353977421032341,0.6934984520123839,8017,1.9541156198626676e-06
0.0,8,0.9353365950353234,0.6924664602683178,8017,1.9541156198626676e-06
0.0,9,0.9347729948777063,0.6924664602683178,8017,1.9541156198626676e-06
0.0,10,0.9354566805615505,0.6924664602683178,8017,1.9541156198626676e-06
0.0,11,0.9346248360423636,0.6924664602683178,8017,1.9541156198626676e-06
0.0,12,0.9311652107993283,0.6924664602683178,8017,1.9541156198626676e-06
0.0,13,0.9347949678372729,0.6924664602683178,8017,1.9541156198626676e-06
0.0,14,0.9358413120557455,0.6924664602683178,8017,1.9541156198626676e-06
0.0,15,0.9344927020488439,0.6924664602683178,8017,1.9541156198626676e-06
0.0,16,0.9353128038439538,0.6934984520123839,8017,1.9541156198626676e-06
0.0,17,0.9339342702226846,0.6924664602683178,8017,1.9541156198626676e-06
0.0,18,0.9354283359487914,0.6934984520123839,8017,1.9541156198626676e-06
0.0,19,0.934991665219553,0.6924664602683178,8017,1.9541156198626676e-06
0.0,20,0.9321282977572345,0.6924664602683178,8017,1.9541156198626676e-06
0.0,21,0.9333575654771077,0.6924664602683178,8017,1.9541156198626676e-06
0.0,22,0.9357028971370206,0.6934984520123839,8017,1.9541156198626676e-06
0.0,23,0.9354203408333263,0.6924664602683178,8017,1.9541156198626676e-06
0.0,24,0.9334083260350619,0.6924664602683178,8017,1.9541156198626676e-06
0.0,25,0.9354907110736854,0.6924664602683178,8017,1.9541156198626676e-06
0.0,26,0.9335451625296771,0.6934984520123839,8017,1.9541156198626676e-06
0.0,27,0.9348810544410546,0.6934984520123839,8017,1.9541156198626676e-06
0.0,28,0.9348308314302881,0.6924664602683178,8017,1.9541156198626676e-06
0.0,29,0.9338191102302311,0.6924664602683178,8017,1.9541156198626676e-06
0.1,0,0.9304443621780831,0.695562435500516,7215,2.9715506652578282e-05
0.1,1,0.94231640688187,0.6934984520123839,7215,2.9715506652578282e-05
0.1,2,0.9378905584974464,0.6924664602683178,7215,2.9715506652578282e-05
0.1,3,0.9494166558516154,0.6883384932920537,7215,2.9715506652578282e-05
0.1,4,0.9306462280218598,0.6914344685242518,7215,2.9715506652578282e-05
0.1,5,0.9339681844655149,0.695562435500516,7215,2.9715506652578282e-05
0.1,6,0.9448475718305165,0.6934984520123839,7215,2.9715506652578282e-05
0.1,7,0.9324725801797691,0.6904024767801857,7215,2.9715506652578282e-05
0.1,8,0.9369044778903444,0.6934984520123839,7215,2.9715506652578282e-05
0.1,9,0.9340225322364055,0.695562435500516,7215,2.9715506652578282e-05
