delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.8858539485553173,0.7110423116615067,8016,1.0705438699082761e-06
0.0,1,0.8851449118321174,0.7120743034055728,8016,1.0705438699082761e-06
0.0,2,0.8850423806702402,0.7100103199174407,8016,1.0705438699082761e-06
0.0,3,0.8848019123662602,0.7110423116615067,8016,1.0705438699082761e-06
0.0,4,0.8860770485505446,0.7131062951496389,8016,1.0705438699082761e-06
0.0,5,0.8851065064735146,0.7110423116615067,8016,1.0705438699082761e-06
0.0,6,0.8861899022743757,0.7110423116615067,8016,1.0705438699082761e-06
0.0,7,0.8854164249494735,0.7110423116615067,8016,1.0705438699082761e-06
0.0,8,0.8837040536759726,0.7110423116615067,8016,1.0705438699082761e-06
0.0,9,0.8875572855434466,0.7131062951496389,8016,1.0705438699082761e-06
0.0,10,0.8846048218215469,0.7100103199174407,8016,1.0705438699082761e-06
0.0,11,0.8860425542952468,0.7141382868937048,8016,1.0705438699082761e-06
0.0,12,0.8853765534343434,0.7120743034055728,8016,1.0705438699082761e-06
0.0,13,0.886464242822893,0.7131062951496389,8016,1.0705438699082761e-06
0.0,14,0.8840842747906057,0.7110423116615067,8016,1.0705438699082761e-06
0.0,15,0.8833201364885845,0.7110423116615067,8016,1.0705438699082761e-06
0.0,16,0.8841157120813983,0.7110423116615067,8016,1.0705438699082761e-06
0.0,17,0.8847693264661253,0.7110423116615067,8016,1.0705438699082761e-06
0.0,18,0.8861085771743138,0.7120743034055728,8016,1.0705438699082761e-06
0.0,19,0.8859882582003028,0.7110423116615067,8016,1.0705438699082761e-06
0.0,20,0.88539989956294,0.7110423116615067,8016,1.0705438699082761e-06
0.0,21,0.885316745882076,0.7120743034055728,8016,1.0705438699082761e-06
0.0,22,0.8871272017124939,0.7131062951496389,8016,1.0705438699082761e-06
0.0,23,0.8846642862449359,0.7120743034055728,8016,1.0705438699082761e-06
0.0,24,0.8842415405747542,0.7120743034055728,8016,1.0705438699082761e-06
0.0,25,0.8844676020775486,0.7110423116615067,8016,1.0705438699082761e-06
0.0,26,0.8855907565450543,0.7131062951496389,8016,1.0705438699082761e-06
0.0,27,0.884806614137935,0.7110423116615067,8016,1.0705438699082761e-06
0.0,28,0.8830231124656965,0.7100103199174407,8016,1.0705438699082761e-06
0.0,29,0.8851488087359468,0.7131062951496389,8016,1.0705438699082761e-06
0.1,0,0.8876121483667285,0.7110423116615067,7214,1.6289304727150295e-05
0.1,1,0.8868573979812123,0.7089783281733746,7214,1.6289304727150295e-05
0.1,2,0.8886827345342029,0.7120743034055728,7214,1.6289304727150295e-05
0.1,3,0.8911269169792384,0.7100103199174407,7214,1.6289304727150295e-05
0.1,4,0.8857735099966659,0.7141382868937048,7214,1.6289304727150295e-05
0.1,5,0.8856696318367884,0.7151702786377709,7214,1.6289304727150295e-05
0.1,6,0.8884497188008976,0.7058823529411765,7214,1.6289304727150295e-05
0.1,7,0.9010483270699953,0.7069143446852425,7214,1.6289304727150295e-05
0.1,8,0.8885214913125571,0.7089783281733746,7214,1.6289304727150295e-05
0.1,9,0.8904869263798627,0.7151702786377709,7214,1.6289304727150295e-05
0.1,10,0.8875341707904356,0.7069143446852425,7214,1.6289304727150295e-05
0.1,11,0.8895004424826537,0.7100103199174407,7214,1.6289304727150295e-05
0.1,12,0.884522654656705,0.7110423116615067,7214,1.6289304727150295e-05
0.1,13,0.8852479179864222,0.7110423116615067,7214,1.6289304727150295e-05
0.1,14,0.8850392395763904,0.7110423116615067,7214,1.6289304727150295e-05
0.1,15,0.8909213428393401,0.7089783281733746,7214,1.6289304727150295e-05
0.1,16,0.8883959685511372,0.7100103199174407,7214,1.6289304727150295e-05
0.1,17,0.8894502695451488,0.7141382868937048,7214,1.6289304727150295e-05
0.1,18,0.8898122290148633,0.7100103199174407,7214,1.6289304727150295e-05
0.1,19,0.8911581821874629,0.7131062951496389,7214,1.6289304727150295e-05
0.1,20,0.8798641852214258,0.7100103199174407,7214,1.6289304727150295e-05
0.1,21,0.8866289895181269,0.7089783281733746,7214,1.6289304727150295e-05
0.1,22,0.8888815786848486,0.7100103199174407,7214,1.6289304727150295e-05
0.1,23,0.8852590456039607,0.7131062951496389,7214,1.6289304727150295e-05
0.1,24,0.8866570989806171,0.7120743034055728,7214,1.6289304727150295e-05
0.1,25,0.8844674882450747,0.7131062951496389,7214,1.6289304727150295e-05
0.1,26,0.8805562862811538,0.7089783281733746,7214,1.6289304727150295e-05
0.1,27,0.8945861286864879,0.7110423116615067,7214,1.6289304727150295e-05
0.1,28,0.8870070398528702,0.7089783281733746,7214,1.6289304727150295e-05
0.1,29,0.8825206018130594,0.7110423116615067,7214,1.6289304727150295e-05
0.2,0,0.8920551003900086,0.7131062951496389,6412,3.1617362445524595e-05
0.2,1,0.8897743589202436,0.7089783281733746,6412,3.1617362445524595e-05
0.2,2,0.8925027725296284,0.7058823529411765,6412,3.1617362445524595e-05
0.2,3,0.9047178388387478,0.7100103199174407,6412,3.1617362445524595e-05
0.2,4,0.88842178952948,0.7069143446852425,6412,3.1617362445524595e-05
0.2,5,0.8896261501208919,0.7141382868937048,6412,3.1617362445524595e-05
0.2,6,0.8779045401048282,0.7110423116615067,6412,3.1617362445524595e-05
0.2,7,0.8853990594459908,0.7141382868937048,6412,3.1617362445524595e-05
0.2,8,0.8953357206149513,0.7110423116615067,6412,3.1617362445524595e-05
0.2,9,0.8790375294952857,0.7110423116615067,6412,3.1617362445524595e-05
0.2,10,0.8849466065701599,0.7151702786377709,6412,3.1617362445524595e-05
0.2,11,0.8917056574203158,0.7069143446852425,6412,3.1617362445524595e-05
0.2,12,0.8924067488126879,0.7089783281733746,6412,3.1617362445524595e-05
0.2,13,0.88754424440295,0.7079463364293086,6412,3.1617362445524595e-05
0.2,14,0.8865838013797327,0.7079463364293086,6412,3.1617362445524595e-05
0.2,15,0.8908595572393946,0.7110423116615067,6412,3.1617362445524595e-05
0.2,16,0.8883877996359888,0.7131062951496389,6412,3.1617362445524595e-05
0.2,17,0.8842006791129754,0.7131062951496389,6412,3.1617362445524595e-05
0.2,18,0.8911262221745735,0.7038183694530443,6412,3.1617362445524595e-05
0.2,19,0.8820023960950403,0.7100103199174407,6412,3.1617362445524595e-05
0.2,20,0.8892902703761708,0.7120743034055728,6412,3.1617362445524595e-05
0.2,21,0.8958473727052898,0.7048503611971104,6412,3.1617362445524595e-05
