delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.8699781766218687,0.7048503611971104,8017,6.858755698810152e-07
0.0,1,0.8709685831511962,0.7048503611971104,8017,6.858755698810152e-07
0.0,2,0.8707646320295822,0.7069143446852425,8017,6.858755698810152e-07
0.0,3,0.8723984534757436,0.7069143446852425,8017,6.858755698810152e-07
0.0,4,0.871208082880412,0.7089783281733746,8017,6.858755698810152e-07
0.0,5,0.8707101968772685,0.7058823529411765,8017,6.858755698810152e-07
0.0,6,0.8713506609529403,0.7058823529411765,8017,6.858755698810152e-07
0.0,7,0.8702993606485872,0.7069143446852425,8017,6.858755698810152e-07
0.0,8,0.8711595440264881,0.7079463364293086,8017,6.858755698810152e-07
0.0,9,0.8718548490841896,0.7058823529411765,8017,6.858755698810152e-07
0.0,10,0.8706431602454568,0.7048503611971104,8017,6.858755698810152e-07
0.0,11,0.8704701148600938,0.7058823529411765,8017,6.858755698810152e-07
0.0,12,0.8698108591978352,0.7058823529411765,8017,6.858755698810152e-07
0.0,13,0.8711053974373973,0.7058823529411765,8017,6.858755698810152e-07
0.0,14,0.8707637607388399,0.7069143446852425,8017,6.858755698810152e-07
0.0,15,0.871845121036694,0.7069143446852425,8017,6.858755698810152e-07
0.0,16,0.8728274345203371,0.7069143446852425,8017,6.858755698810152e-07
0.0,17,0.8700868362275154,0.7058823529411765,8017,6.858755698810152e-07
0.0,18,0.870552273549059,0.7069143446852425,8017,6.858755698810152e-07
0.0,19,0.8711315354356025,0.7048503611971104,8017,6.858755698810152e-07
0.0,20,0.8721784844341194,0.7058823529411765,8017,6.858755698810152e-07
0.0,21,0.8722501847901272,0.7058823529411765,8017,6.858755698810152e-07
0.0,22,0.8705814801278863,0.7058823529411765,8017,6.858755698810152e-07
0.0,23,0.869785784160521,0.7058823529411765,8017,6.858755698810152e-07
0.0,24,0.8709393663382375,0.7069143446852425,8017,6.858755698810152e-07
0.0,25,0.8696479711429299,0.7069143446852425,8017,6.858755698810152e-07
0.0,26,0.8718464822608554,0.7058823529411765,8017,6.858755698810152e-07
0.0,27,0.8701136375382001,0.7058823529411765,8017,6.858755698810152e-07
0.0,28,0.8704411289978892,0.7058823529411765,8017,6.858755698810152e-07
0.0,29,0.8713522029762205,0.7069143446852425,8017,6.858755698810152e-07
0.1,0,0.8690253744649746,0.7027863777089783,7215,1.2840063766293775e-05
0.1,1,0.8773530991338266,0.7079463364293086,7215,1.2840063766293775e-05
0.1,2,0.875164540978701,0.7038183694530443,7215,1.2840063766293775e-05
0.1,3,0.8819750842418318,0.7079463364293086,7215,1.2840063766293775e-05
0.1,4,0.872355486966757,0.7048503611971104,7215,1.2840063766293775e-05
0.1,5,0.8750755464423522,0.7069143446852425,7215,1.2840063766293775e-05
0.1,6,0.8815781476770972,0.7058823529411765,7215,1.2840063766293775e-05
0.1,7,0.8761677535181354,0.7079463364293086,7215,1.2840063766293775e-05
0.1,8,0.8755585180240663,0.7089783281733746,7215,1.2840063766293775e-05
0.1,9,0.8696853321807472,0.7089783281733746,7215,1.2840063766293775e-05
0.1,10,0.8741040647543686,0.7038183694530443,7215,1.2840063766293775e-05
0.1,11,0.8694267242476317,0.7069143446852425,7215,1.2840063766293775e-05
0.1,12,0.8688496970579251,0.7079463364293086,7215,1.2840063766293775e-05
0.1,13,0.8780467984562247,0.7079463364293086,7215,1.2840063766293775e-05
0.1,14,0.8745614655929626,0.7079463364293086,7215,1.2840063766293775e-05
0.1,15,0.8735860035700517,0.7038183694530443,7215,1.2840063766293775e-05
0.1,16,0.8698587736890291,0.7089783281733746,7215,1.2840063766293775e-05
0.1,17,0.8764265366360847,0.7038183694530443,7215,1.2840063766293775e-05
0.1,18,0.8733466705200538,0.7038183694530443,7215,1.2840063766293775e-05
0.1,19,0.8708385000115859,0.7058823529411765,7215,1.2840063766293775e-05
0.1,20,0.8720719640396433,0.7048503611971104,7215,1.2840063766293775e-05
0.1,21,0.8694757446274306,0.7038183694530443,7215,1.2840063766293775e-05
0.1,22,0.8718616507237729,0.7069143446852425,7215,1.2840063766293775e-05
0.1,23,0.8717264822148527,0.7038183694530443,7215,1.2840063766293775e-05
0.1,24,0.880260850691355,0.7027863777089783,7215,1.2840063766293775e-05
0.1,25,0.8731552011611071,0.7089783281733746,7215,1.2840063766293775e-05
0.1,26,0.8719323086018352,0.7089783281733746,7215,1.2840063766293775e-05
0.1,27,0.8743701935659614,0.7079463364293086,7215,1.2840063766293775e-05
0.1,28,0.8717969661297811,0.7058823529411765,7215,1.2840063766293775e-05
0.1,29,0.8715298504020235,0.7069143446852425,7215,1.2840063766293775e-05
0.2,0,0.8687917142860583,0.7089783281733746,6415,5.175748978819987e-05
0.2,1,0.8719096998515797,0.7110423116615067,6415,5.175748978819987e-05
0.2,2,0.8757987948873958,0.7110423116615067,6415,5.175748978819987e-05
0.2,3,0.8902316447262876,0.7017543859649122,6415,5.175748978819987e-05
0.2,4,0.8755467170738607,0.7089783281733746,6415,5.175748978819987e-05
0.2,5,0.8705017402519521,0.7038183694530443,6415,5.175748978819987e-05
0.2,6,0.8807459975521205,0.7038183694530443,6415,5.175748978819987e-05
0.2,7,0.8789590517929098,0.7089783281733746,6415,5.175748978819987e-05
