delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.7315673236963405,0.8152734778121775,8016,1.5038436705380348e-05
0.0,1,0.7228383043594951,0.8152734778121775,8016,1.5038436705380348e-05
0.0,2,0.7231467787761033,0.8142414860681114,8016,1.5038436705380348e-05
0.0,3,0.7278450861795567,0.8132094943240454,8016,1.5038436705380348e-05
0.0,4,0.7342974878969148,0.8142414860681114,8016,1.5038436705380348e-05
0.0,5,0.7297358778146491,0.8142414860681114,8016,1.5038436705380348e-05
0.0,6,0.7311263531293846,0.8142414860681114,8016,1.5038436705380348e-05
0.0,7,0.7254067276571082,0.8132094943240454,8016,1.5038436705380348e-05
0.0,8,0.7351506368012354,0.8152734778121775,8016,1.5038436705380348e-05
0.0,9,0.7238245103864505,0.8142414860681114,8016,1.5038436705380348e-05
0.0,10,0.7245493875344602,0.8163054695562435,8016,1.5038436705380348e-05
0.0,11,0.7262958608244235,0.8142414860681114,8016,1.5038436705380348e-05
0.0,12,0.7335456896644968,0.8142414860681114,8016,1.5038436705380348e-05
0.0,13,0.7242247267512714,0.8152734778121775,8016,1.5038436705380348e-05
0.0,14,0.7252064792134313,0.8132094943240454,8016,1.5038436705380348e-05
0.0,15,0.7276000841852397,0.8142414860681114,8016,1.5038436705380348e-05
0.0,16,0.7285186386301884,0.8132094943240454,8016,1.5038436705380348e-05
0.0,17,0.7264174365583842,0.8163054695562435,8016,1.5038436705380348e-05
0.0,18,0.7329421256656674,0.8152734778121775,8016,1.5038436705380348e-05
0.0,19,0.7242754289839655,0.8163054695562435,8016,1.5038436705380348e-05
0.0,20,0.7300755809513927,0.8142414860681114,8016,1.5038436705380348e-05
0.0,21,0.7291805138905741,0.8152734778121775,8016,1.5038436705380348e-05
0.0,22,0.7315856982186748,0.8142414860681114,8016,1.5038436705380348e-05
0.0,23,0.7281110458691596,0.8152734778121775,8016,1.5038436705380348e-05
0.0,24,0.7230116770384973,0.8142414860681114,8016,1.5038436705380348e-05
0.0,25,0.7292856644918674,0.8132094943240454,8016,1.5038436705380348e-05
0.0,26,0.7253981129584114,0.8163054695562435,8016,1.5038436705380348e-05
0.0,27,0.7314819796870692,0.8142414860681114,8016,1.5038436705380348e-05
0.0,28,0.7322635770757389,0.8121775025799793,8016,1.5038436705380348e-05
0.0,29,0.7358525243746253,0.8142414860681114,8016,1.5038436705380348e-05
0.1,0,0.7436118311202282,0.8121775025799793,7214,0.00012585243657712856
0.1,1,0.7322690452792912,0.8101135190918473,7214,0.00012585243657712856
0.1,2,0.7559707878770137,0.8080495356037152,7214,0.00012585243657712856
0.1,3,0.7202100899838838,0.8111455108359134,7214,0.00012585243657712856
0.1,4,0.7249159238496726,0.8142414860681114,7214,0.00012585243657712856
0.1,5,0.7326938276818209,0.8080495356037152,7214,0.00012585243657712856
0.1,6,0.7332221400066895,0.8132094943240454,7214,0.00012585243657712856
0.1,7,0.7278440359077997,0.8163054695562435,7214,0.00012585243657712856
0.1,8,0.7273784769839747,0.8132094943240454,7214,0.00012585243657712856
0.1,9,0.7284125509047271,0.8142414860681114,7214,0.00012585243657712856
0.1,10,0.7551883374059848,0.8121775025799793,7214,0.00012585243657712856
0.1,11,0.7376429935915818,0.8152734778121775,7214,0.00012585243657712856
0.1,12,0.7355932371624845,0.8152734778121775,7214,0.00012585243657712856
0.1,13,0.7455773224053842,0.8152734778121775,7214,0.00012585243657712856
0.1,14,0.7194491700483608,0.8152734778121775,7214,0.00012585243657712856
0.1,15,0.7479492076083254,0.8152734778121775,7214,0.00012585243657712856
0.1,16,0.7525387903641538,0.8121775025799793,7214,0.00012585243657712856
0.1,17,0.7284229741316831,0.8132094943240454,7214,0.00012585243657712856
0.1,18,0.7353863845697161,0.8070175438596491,7214,0.00012585243657712856
0.1,19,0.7277336130762646,0.8142414860681114,7214,0.00012585243657712856
0.1,20,0.7176571531791586,0.8132094943240454,7214,0.00012585243657712856
0.1,21,0.7452967337328,0.8132094943240454,7214,0.00012585243657712856
0.1,22,0.729621189543046,0.8132094943240454,7214,0.00012585243657712856
0.1,23,0.7355135269774146,0.8121775025799793,7214,0.00012585243657712856
0.1,24,0.7639746607642001,0.8121775025799793,7214,0.00012585243657712856
0.1,25,0.7373203814498297,0.8090815273477813,7214,0.00012585243657712856
0.1,26,0.7374732768526336,0.8111455108359134,7214,0.00012585243657712856
0.1,27,0.7295163820892441,0.8163054695562435,7214,0.00012585243657712856
0.1,28,0.7334076588372587,0.8163054695562435,7214,0.00012585243657712856
0.1,29,0.7324396985619555,0.8142414860681114,7214,0.00012585243657712856
0.2,0,0.722004086021534,0.8132094943240454,6412,0.00016732734598269374
0.2,1,0.7489562224372687,0.8121775025799793,6412,0.00016732734598269374
0.2,2,0.7559556000252434,0.8101135190918473,6412,0.00016732734598269374
0.2,3,0.7545463776841523,0.8121775025799793,6412,0.00016732734598269374
0.2,4,0.7347949072312028,0.8152734778121775,6412,0.00016732734598269374
0.2,5,0.735834965632937,0.8080495356037152,6412,0.00016732734598269374
0.2,6,0.7255596168016768,0.8204334365325078,6412,0.00016732734598269374
0.2,7,0.749948502362276,0.8173374613003096,6412,0.00016732734598269374
0.2,8,0.7423098978941788,0.8183694530443757,6412,0.00016732734598269374
0.2,9,0.7533410340388883,0.8070175438596491,6412,0.00016732734598269374
0.2,10,0.7616085949599583,0.8194014447884417,6412,0.00016732734598269374
0.2,11,0.7522212549143311,0.8111455108359134,6412,0.00016732734598269374
0.2,12,0.760233094036245,0.8194014447884417,6412,0.00016732734598269374
0.2,13,0.7390657490448002,0.8142414860681114,6412,0.00016732734598269374
0.2,14,0.7738255393133496,0.8018575851393189,6412,0.00016732734598269374
0.2,15,0.7450929717286796,0.8121775025799793,6412,0.00016732734598269374
0.2,16,0.7352157423747916,0.8163054695562435,6412,0.00016732734598269374
0.2,17,0.7444845817926418,0.8183694530443757,6412,0.00016732734598269374
0.2,18,0.7458556698093841,0.8194014447884417,6412,0.00016732734598269374
0.2,19,0.7170380396112008,0.8142414860681114,6412,0.00016732734598269374
0.2,20,0.7462649994883729,0.8111455108359134,6412,0.00016732734598269374
0.2,21,0.7350100097189164,0.8142414860681114,6412,0.00016732734598269374
0.2,22,0.730482768538042,0.804953560371517,6412,0.00016732734598269374
0.2,23,0.7644284367870443,0.8173374613003096,6412,0.00016732734598269374
0.2,24,0.76132067638064,0.8111455108359134,6412,0.00016732734598269374
0.2,25,0.7558664675281364,0.8142414860681114,6412,0.00016732734598269374
0.2,26,0.7452150185096897,0.8163054695562435,6412,0.00016732734598269374
0.2,27,0.7515905898293245,0.8132094943240454,6412,0.00016732734598269374
0.2,28,0.7444704525633763,0.8142414860681114,6412,0.00016732734598269374
0.2,29,0.7517980982274339,0.8101135190918473,6412,0.00016732734598269374
0.3,0,0.7591519610430977,0.8163054695562435,5611,0.00020774727211167273
0.3,1,0.7686559120099191,0.8080495356037152,5611,0.00020774727211167273
0.3,2,0.7669408924852327,0.8163054695562435,5611,0.00020774727211167273
0.3,3,0.7405459617588058,0.8152734778121775,5611,0.00020774727211167273
0.3,4,0.7600128817730527,0.8173374613003096,5611,0.00020774727211167273
0.3,5,0.7498376942809207,0.8101135190918473,5611,0.00020774727211167273
0.3,6,0.7759753583502675,0.8090815273477813,5611,0.00020774727211167273
0.3,7,0.7411616461349798,0.8142414860681114,5611,0.00020774727211167273
0.3,8,0.7513755452988611,0.803921568627451,5611,0.00020774727211167273
0.3,9,0.7921629923150617,0.8142414860681114,5611,0.00020774727211167273
0.3,10,0.747885950614351,0.8173374613003096,5611,0.00020774727211167273
0.3,11,0.7480905737795929,0.8183694530443757,5611,0.00020774727211167273
0.3,12,0.7660974109469039,0.8204334365325078,5611,0.00020774727211167273
0.3,13,0.7302215677470376,0.8142414860681114,5611,0.00020774727211167273
0.3,14,0.7587214749268186,0.8090815273477813,5611,0.00020774727211167273
0.3,15,0.7498829752858822,0.8111455108359134,5611,0.00020774727211167273
0.3,16,0.7354240362251093,0.8245614035087719,5611,0.00020774727211167273
0.3,17,0.7471358879753648,0.8152734778121775,5611,0.00020774727211167273
0.3,18,0.7359241319497549,0.8152734778121775,5611,0.00020774727211167273
0.3,19,0.7537932141896329,0.8142414860681114,5611,0.00020774727211167273
0.3,20,0.7466416294034471,0.8163054695562435,5611,0.00020774727211167273
0.3,21,0.7313750378569939,0.8142414860681114,5611,0.00020774727211167273
0.3,22,0.7690221208329281,0.8080495356037152,5611,0.00020774727211167273
0.3,23,0.7389866203727649,0.8121775025799793,5611,0.00020774727211167273
0.3,24,0.7307160965926087,0.8152734778121775,5611,0.00020774727211167273
0.3,25,0.7403099546755075,0.8121775025799793,5611,0.00020774727211167273
0.3,26,0.758685151368199,0.8183694530443757,5611,0.00020774727211167273
0.3,27,0.7603858367195542,0.8142414860681114,5611,0.00020774727211167273
0.3,28,0.7571766394990612,0.8132094943240454,5611,0.00020774727211167273
0.3,29,0.7492651372412801,0.8121775025799793,5611,0.00020774727211167273
0.4,0,0.7485268002166308,0.8183694530443757,4809,0.0002999113696098792
0.4,1,0.7658502883422109,0.8142414860681114,4809,0.0002999113696098792
0.4,2,0.7485628846312239,0.8214654282765738,4809,0.0002999113696098792
0.4,3,0.7571058564893521,0.8090815273477813,4809,0.0002999113696098792
0.4,4,0.7485768630282934,0.8080495356037152,4809,0.0002999113696098792
0.4,5,0.7653377565221179,0.8132094943240454,4809,0.0002999113696098792
0.4,6,0.7480782145135373,0.8142414860681114,4809,0.0002999113696098792
0.4,7,0.7902493112876282,0.8152734778121775,4809,0.0002999113696098792
0.4,8,0.7667647761013587,0.8132094943240454,4809,0.0002999113696098792
0.4,9,0.7560719778935961,0.8183694530443757,4809,0.0002999113696098792
0.4,10,0.7503186432223548,0.8163054695562435,4809,0.0002999113696098792
